"Yes","Oui"
"Enable 3-D Secure until X orders","Activer 3-D Secure jusqu'à X commandes"
"Enable 3-D Secure","Activer le 3-D Secure"
"Billing and shipping addresses","Adresses de facturation et de livraison"
"Once authorized","Après autorisation"
"Once paid","Après paiement"
"Check your Sofinco contract before enabling this option.","Assurez-vous d'avoir activé cette option auprès de Sofinco."
"Conditions","Conditions"
"Make sure that the contract signed with your bank allows 3-D Secure before proceeding with setup.","En amont, assurez vous du paramétrage 3-D Secure de votre contrat auprès de votre banque et auprès de Sofinco."
"Environment","Environnement"
"Automatic invoice","Facturer automatiquement"
"Other options","Option supplémentaire"
"Show payment information to customers","Afficher les informations de paiement aux clients"
"HMAC","HMAC"
"Login","Identifiant"
"Delay","Jours de différé"
"Minimum Order Amount","Montant mini de la commande"
"Sofinco Back Office password","Mot de passe du Back-Office Sofinco"
"Payment methods","Moyens de paiement"
"Rank number","Numéro de rang"
"Site number","Numéro de site"
"Pay by Card Three Times","Paiement en trois fois par carte bancaire"
"Pay by Bancontact Mister Cash","Paiement par Bancontact/Mistercash"
"Pay by Buyster","Paiement par Buyster"
"Pay by Saving or Prepaid Ticket","Paiement par cagnotte ou ticket prépayé"
"Pay by Bank Card","Paiement par carte bancaire"
"Pay by Card and Means of Financing","Paiement par carte et moyen de financement"
"Pay by Maestro","Paiement par carte Maestro"
"Pay by Private Card","Paiement par carte privative"
"Pay by Paybutton","Paiement par Paybutton"
"Pay by Paypal","Paiement par Paypal"
"Account settings","Paramètres du compte"
"Sofinco","Sofinco"
"Presentation","Présentation"
"Subscribed Sofinco Solution","Solution Sofinco souscrite"
"Payment status","Statuts de commande"
"Debit type","Type de débit"
"Card type","Types de carte"

"Technical options","Réglages techniques"
"Debug","Débogage"
"Allowed IPs","IPs autorisées"
"Sofinco System test URLs","URL de test Sofinco System"
"Sofinco System production URLs","URL de production Sofinco System"
"Sofinco Direct test URLs","URL de test Sofinco Direct"
"Sofinco Direct production URLs","URL de production Sofinco Direct"
"A comma separated list of URLs.","Une liste d'URLs séparées par des virgules."
"A coma separated list of Sofinco IPs.","Une liste des IPs Sofinco séparées par des virgules."
"Enable some debugging information.","Active l'affichage d'informations de débogage supplémentaires."

"Paybox System (Essential Pack)","Pack Essentiel (Paybox System)"
"Paybox System + Paybox Direct (Flexible Pack)","Pack Flexible (Paybox System + Direct)"
"Paybox System + Paybox Direct Plus (Flexible Pack)","Pack Plus (Paybox System + Direct plus)"
"Production","Production"
"Test","Test"
"Conditionnal","Sélectif"
"Same","Identiques"
"Different","Différentes"
"Paid Immediatly","Débit immédiat"
"Defered payment","Débit différé"
"Paid shipping","Débit à l'expédition"

"Please select a valid credit card type","Veuillez choisir une carte."
"After confirmation of your order you will be redirected to the payment page.","Vous serez redirigé sur la page de paiement après confirmation de votre commande."
"Click to your card's logo, after confirmation of your order you will be redirected to the payment page.","Cliquez sur le logo correspondant à votre carte, vous serez redirigé sur la page de paiement après confirmation de votre commande."

"An unexpected error in Sofinco call has occured.","Une erreur imprévue s'est produite lors du traitement de la réponse de Sofinco."
"Sofinco returned an unexpected error","Sofinco a retourné une erreur."
"Payment canceled by user","Le paiement a été annulé par l'utilisateur."
"IPN call from %s not allowed.","L'appel à l'IPN par l'IP %s n'est pas permise."
"Unable to create an invoice.","Impossible de créer une facture."
"Payment was authorized and captured by Sofinco.","Le paiement a été autorisé et capturé par Sofinco."
"Second payment was captured by Sofinco.","Le deuxième paiement a été capturé par Sofinco."
"Third payment was captured by Sofinco.","Le troisième paiement a été capturé par Sofinco."
"No transaction found.","Aucune transaction trouvé."
"Payment never authorized.","Le paiement n'a pas été autorisé."
"Unexpected condition.","Une erreur imprévue s'est produite."
"Payment was captured by Sofinco.","Le paiement a été capturé par Sofinco."
"Sofinco direct error","Erreur de Sofinco Direct"
"Payment was canceled by user on Sofinco payment page.","Le paiement a été annulé par l'utilisateur sur la page de paiement de Sofinco."
"Customer is back from Sofinco payment page.","Le client est de retour de la page de paiement de Sofinco."
"Redirecting customer to Sofinco payment page.","Le client est redirigé vers la page de paiement de Sofinco."
"An unexpected error have occured while processing Sofinco payment (%s).","Une erreur imprévue s'est produite durant le traitement du paiement par Sofinco (%s)."
"Payment was refused by Sofinco (%s).","Le paiement a été refusé par Sofinco (%s)."
"Payment was refused by Sofinco.","Le paiement a été refusé par Sofinco."
"Payment was authorized by Sofinco.","Le paiement a été autorisé par Sofinco."
"Invoice automatically created by Sofinco payment module.","Une facture a été automatiquement crée par le module de paiement Sofinco."

"Sofinco not available. Please try again later.","Sofinco n'est actuellement pas disponible. Veuillez réessayer ultérieurement."
"If multiple currencies are active on your store you can force the payment with the base currency or the currency selected by the customer when ordering.","Si plusieurs devises sont actives sur votre boutique, vous pouvez forcer le paiement avec la devise de base ou avec la devise choisie par le client lors de sa commande."
"Orders currencies","Devises des commandes"
"Order currency","Devise choisie par le client"
"Default store currency","Devise de base de la boutique"

"Payment page type", "Type de page de paiement"
"Classic", "Classique"
"Responsive", "Responsive"

"You notified customer about invoice #%1.","Le client a été notifié de la création de la facture #%1."
"Captured amount of %1 online.","Montant capturé de %1 en ligne."

"Min order amount","Montant de commande minimum"
"Max order amount","Montant de commande maximum"
"Fee management - Share the fees with the customer","Gestion des frais - Partage des frais client / commerçant"
"Fee management - I pay the fees (no cost for the customer)","Gestion des frais - Je prends en charge les frais"
